Imobiliaria;Tipo;Bairro;n_quartos;n_banheiros;n_suite;n_vagas;Area;Preço_Aluguel
Longatti Imoveis;Apt;Sao Caetano;3;1;0;0;69.62;880
Longatti Imoveis;Apt;Sao Caetano;2;1;1;1;54;820
Longatti Imoveis;Apt;Sao Geraldo;3;1;0;0;104.62;890
Longatti Imoveis;Kitnet;Sao Judas Tadeu;1;1;1;0;;550
Krasis;Apartamento;Sao Judas Tadeu;2;1;1;1;;1150
Krasis;Apartamento;Sao Judas Tadeu;2;1;0;1;;1200
Longatti Imoveis;Casa;Segredo;2;1;0;0;90;1000
Krasis;Casa;Solar da serra;2;1;1;1;;1000
Flavio Vitor Imoveis;Casa;Solar da Serra;3;1;1;1;;1200
Flavio Vitor Imoveis;Apt;Solar da Serra;3;1;0;1;;800
Krasis;Casa;Tejuco;3;1;1;2;;2500
Zanfer;Apt;Tejuco;3;2;1;0;;1200
Longatti Imoveis;Kitnet;Vila Belizario;1;1;0;1;16;550
Longatti Imoveis;Apt;Vila Belizario;3;3;1;2;125;2350
Longatti Imoveis;Apt;Vila Belizario;3;2;1;1;;1500
Longatti Imoveis;Apt;Vila Belizario;3;2;1;1;;1500
Krasis;Apartamento;Vila Belizario;3;1;1;1;;1500
Krasis;Apartamento;Vila Belizario;3;1;1;1;;1190
Flavio Vitor Imoveis;Apt;Vila Belizario;3;1;1;2;183;1400
Krasis;Apartamento;Vila Joao Lombardi;3;1;1;1;;1200
Longatti Imoveis;Casa;Vila Marchetti;3;1;0;1;95.1;1350
Flavio Vitor Imoveis;Apt;Vila Marchetti ;3;2;1;2;;2400
Zanfer;Apt;Vila Marchetti ;2;3;1;2;110;1200
Krasis;Casa;Vila Nossa Senhora de Fatima;3;1;0;0;;700
Longatti Imoveis;Apt;Vila Santa Terezinha;3;1;1;0;129;1320
Longatti Imoveis;Apt;Vila Santa Terezinha;3;1;1;1;80;1200
Longatti Imoveis;Apt;Vila Sao Bento;2;1;0;0;;900
Zanfer;Casa;Vila Santa Terezinha;1;1;0;0;;550
Flavio Vitor Imoveis;Apt;Vila Tiradentes;2;1;0;1;;1200
Flavio Vitor Imoveis;Apt;Vila Tiradentes;2;1;0;1;;1350
Zanfer;Apt;Vila Tiradentes;2;1;0;1;65;1500
