Imobiliaria,Tipo,Bairro,n_quartos,n_banheiros,n_suite,n_vagas,Area,Preço_Aluguel
Flavio Vitor Imoveis,2,Solar da Serra,3,1,1,1,,1200
Flavio Vitor Imoveis,1,Solar da Serra,3,1,0,1,,800
Krasis,2,Tejuco,3,1,1,2,,2500
Zanfer,1,Tejuco,3,2,1,0,,1200
Longatti Imoveis,3,Vila Belizario,1,1,0,1,16,550
Longatti Imoveis,1,Vila Belizario,3,3,1,2,125,2350
Longatti Imoveis,1,Vila Belizario,3,2,1,1,,1500
Longatti Imoveis,1,Vila Belizario,3,2,1,1,,1500
Krasis,1,Vila Belizario,3,1,1,1,,1500
Krasis,1,Vila Belizario,3,1,1,1,,1190
Flavio Vitor Imoveis,1,Vila Belizario,3,1,1,2,183,1400
Krasis,1,Vila Joao Lombardi,3,1,1,1,,1200
Longatti Imoveis,2,Vila Marchetti,3,1,0,1,95.1,1350
Flavio Vitor Imoveis,1,Vila Marchetti ,3,2,1,2,,2400
Zanfer,1,Vila Marchetti ,2,3,1,2,110,1200
Krasis,2,Vila Nossa Senhora de Fatima,3,1,0,0,,700
Longatti Imoveis,1,Vila Santa Terezinha,3,1,1,0,129,1320
Longatti Imoveis,1,Vila Santa Terezinha,3,1,1,1,80,1200
Longatti Imoveis,1,Vila Sao Bento,2,1,0,0,,900
Zanfer,2,Vila Santa Terezinha,1,1,0,0,,550
Flavio Vitor Imoveis,1,Vila Tiradentes,2,1,0,1,,1200
Flavio Vitor Imoveis,1,Vila Tiradentes,2,1,0,1,,1350
Zanfer,1,Vila Tiradentes,2,1,0,1,65,1500
